	573360.930981	4572971.262514	386.984863	156.000000	64100700.000000
	573330.930981	4573001.262514	344.558441	156.000000	64105200.000000
	573300.930981	4573031.262514	302.132019	154.000000	64107000.000000
	573300.930981	4573061.262514	272.132019	153.000000	64109700.000000
	573300.930981	4573091.262514	242.132034	153.000000	64112400.000000
	573270.930981	4573121.262514	199.705627	153.000000	64202400.000000
	573240.930981	4573151.262514	157.279221	153.000000	64278900.000000
	573240.930981	4573181.262514	127.279221	153.000000	64299600.000000
	573270.930981	4573211.262514	84.852814	153.000000	64536300.000000
	573240.930981	4573241.262514	42.426407	153.000000	64538100.000000
	573210.930981	4573271.262514	0.000000	153.000000	64602900.000000
	573630.930981	4572761.262514	839.116882	159.000000	63065700.000000
	573630.930981	4572791.262514	809.116882	159.000000	63067500.000000
	573630.930981	4572821.262514	779.116882	159.000000	63070200.000000
	573630.930981	4572851.262514	749.116882	159.000000	63072900.000000
	573600.930981	4572881.262514	706.690491	159.000000	63079200.000000
	573570.930981	4572881.262514	676.690491	159.000000	63090900.000000
	573570.930981	4572911.262514	646.690491	159.000000	63101700.000000
	573540.930981	4572941.262514	604.264099	159.000000	63107100.000000
	573510.930981	4572971.262514	561.837708	159.000000	63108000.000000
	573480.930981	4572971.262514	531.837708	157.000000	63109800.000000
	573450.930981	4572971.262514	501.837708	156.000000	63112500.000000
	573420.930981	4573001.262514	459.411285	156.000000	63142200.000000
	573390.930981	4572971.262514	416.984863	156.000000	63144000.000000
	573360.930981	4572971.262514	386.984863	156.000000	64100700.000000
	574020.930981	4572461.262514	1388.528076	163.000000	61160400.000000
	573990.930981	4572491.262514	1346.101685	162.000000	61175700.000000
	573960.930981	4572491.262514	1316.101685	162.000000	61210800.000000
	573930.930981	4572521.262514	1273.675293	162.000000	61264800.000000
	573900.930981	4572521.262514	1243.675293	162.000000	61267500.000000
	573870.930981	4572551.262514	1201.248901	162.000000	61365600.000000
	573840.930981	4572581.262514	1158.822510	162.000000	61367400.000000
	573810.930981	4572581.262514	1128.822510	161.000000	61371900.000000
	573780.930981	4572581.262514	1098.822510	161.000000	61375500.000000
	573750.930981	4572581.262514	1068.822510	161.000000	61379100.000000
	573720.930981	4572611.262514	1026.396118	161.000000	61411500.000000
	573690.930981	4572641.262514	983.969666	161.000000	61413300.000000
	573660.930981	4572671.262514	941.543274	161.000000	61415100.000000
	573630.930981	4572701.262514	899.116882	160.000000	61416900.000000
	573630.930981	4572731.262514	869.116882	159.000000	61595100.000000
	573630.930981	4572761.262514	839.116882	159.000000	63065700.000000
	574050.930981	4572341.262514	1520.954468	165.000000	59337900.000000
	574020.930981	4572371.262514	1478.528076	165.000000	59344200.000000
	574020.930981	4572401.262514	1448.528076	165.000000	59345100.000000
	574020.930981	4572431.262514	1418.528076	164.000000	59349600.000000
	574020.930981	4572461.262514	1388.528076	163.000000	61160400.000000
	574590.930981	4571501.262514	2679.777832	177.000000	48058200.000000
	574560.930981	4571531.262514	2637.351318	177.000000	48068100.000000
	574560.930981	4571561.262514	2607.351318	177.000000	48085200.000000
	574530.930981	4571591.262514	2564.924805	177.000000	48097800.000000
	574500.930981	4571621.262514	2522.498291	177.000000	48098700.000000
	574500.930981	4571651.262514	2492.498291	174.000000	48101400.000000
	574470.930981	4571681.262514	2450.071777	174.000000	48112200.000000
	574440.930981	4571681.262514	2420.071777	174.000000	48183300.000000
	574440.930981	4571711.262514	2390.071777	174.000000	48185100.000000
	574410.930981	4571741.262514	2347.645264	174.000000	48195900.000000
	574380.930981	4571741.262514	2317.645264	174.000000	48200400.000000
	574350.930981	4571771.262514	2275.218750	173.000000	48272400.000000
	574350.930981	4571801.262514	2245.218750	173.000000	48274200.000000
	574320.930981	4571831.262514	2202.792236	173.000000	48296700.000000
	574320.930981	4571861.262514	2172.792236	173.000000	48298500.000000
	574350.930981	4571891.262514	2130.365723	172.000000	48302100.000000
	574350.930981	4571921.262514	2100.365723	172.000000	48316500.000000
	574320.930981	4571951.262514	2057.939209	172.000000	48336300.000000
	574290.930981	4571981.262514	2015.512817	171.000000	48345300.000000
	574290.930981	4572011.262514	1985.512817	171.000000	48346200.000000
	574290.930981	4572041.262514	1955.512817	171.000000	48391200.000000
	574260.930981	4572071.262514	1913.086426	171.000000	48402000.000000
	574230.930981	4572101.262514	1870.660034	170.000000	48406500.000000
	574230.930981	4572131.262514	1840.660034	170.000000	48409200.000000
	574200.930981	4572161.262514	1798.233643	169.000000	48420900.000000
	574200.930981	4572191.262514	1768.233643	168.000000	48883500.000000
	574170.930981	4572221.262514	1725.807251	168.000000	48912300.000000
	574140.930981	4572251.262514	1683.380859	168.000000	48917700.000000
	574140.930981	4572281.262514	1653.380859	168.000000	48918600.000000
	574140.930981	4572311.262514	1623.380859	167.000000	48924000.000000
	574110.930981	4572311.262514	1593.380859	167.000000	48926700.000000
	574080.930981	4572311.262514	1563.380859	167.000000	48927600.000000
	574050.930981	4572341.262514	1520.954468	165.000000	59337900.000000
	574770.930981	4570961.262514	3319.189941	179.000000	46712700.000000
	574740.930981	4570991.262514	3276.763428	179.000000	46717200.000000
	574710.930981	4571021.262514	3234.336914	178.000000	46757700.000000
	574680.930981	4571051.262514	3191.910400	178.000000	46769400.000000
	574680.930981	4571081.262514	3161.910400	178.000000	46771200.000000
	574680.930981	4571111.262514	3131.910400	178.000000	46773000.000000
	574680.930981	4571141.262514	3101.910400	178.000000	46806300.000000
	574680.930981	4571171.262514	3071.910400	178.000000	46808100.000000
	574650.930981	4571201.262514	3029.483887	178.000000	46829700.000000
