	68	0	10	-1	67	7	4	1	35
	67	11	24	68	66	38	4	-1	34
	66	25	40	67	65	39	4	-1	32
	65	41	45	66	64	53	4	-1	30
	64	46	78	65	63	12	4	-1	23
	63	79	97	64	62	8	4	-1	22
	62	98	115	63	57	61	4	-1	21
	61	116	139	62	58	60	3	-1	13
	60	140	194	61	59	18	2	-1	6
	59	195	225	60	55	29	2	-1	5
	58	226	275	61	51	3	2	-1	7
	57	276	324	62	56	35	3	-1	8
	56	325	334	57	54	28	2	-1	6
	55	335	387	59	52	24	2	-1	4
	54	388	406	56	45	34	2	-1	5
	53	407	447	65	50	11	2	-1	7
	52	448	471	55	48	21	2	-1	3
	51	472	521	58	49	9	2	-1	6
	50	522	544	53	46	15	2	-1	6
	49	545	553	51	47	6	2	-1	5
	48	554	569	52	23	31	2	-1	2
	47	570	584	49	43	13	2	-1	4
	46	585	605	50	44	16	2	-1	5
	45	606	653	54	42	27	2	-1	4
	44	654	662	46	41	17	2	-1	4
	43	663	687	47	36	4	2	-1	3
	42	688	705	45	40	33	2	-1	3
	41	706	719	44	37	20	2	-1	3
	40	720	730	42	32	30	2	-1	2
	39	731	735	66	5	2	2	-1	2
	38	736	748	67	0	1	2	-1	2
	37	749	769	41	26	25	2	-1	2
	36	770	792	43	14	10	2	-1	2
	35	793	818	57	22	19	2	-1	2
	34	819	885	54	-1	-1	1	-1	1
	33	886	895	42	-1	-1	1	-1	1
	32	896	928	40	-1	-1	1	-1	1
	31	929	1008	48	-1	-1	1	-1	1
	30	1009	1020	40	-1	-1	1	-1	1
	29	1021	1094	59	-1	-1	1	-1	1
	28	1095	1179	56	-1	-1	1	-1	1
	27	1180	1194	45	-1	-1	1	-1	1
	26	1195	1216	37	-1	-1	1	-1	1
	25	1217	1238	37	-1	-1	1	-1	1
	24	1239	1258	55	-1	-1	1	-1	1
	23	1259	1260	48	-1	-1	1	-1	1
	22	1261	1268	35	-1	-1	1	-1	1
	21	1269	1271	52	-1	-1	1	-1	1
	20	1272	1311	41	-1	-1	1	-1	1
	19	1312	1315	35	-1	-1	1	-1	1
	18	1316	1326	60	-1	-1	1	-1	1
	17	1327	1337	44	-1	-1	1	-1	1
	16	1338	1366	46	-1	-1	1	-1	1
	15	1367	1411	50	-1	-1	1	-1	1
	14	1412	1427	36	-1	-1	1	-1	1
	13	1428	1455	47	-1	-1	1	-1	1
	12	1456	1476	64	-1	-1	1	-1	1
	11	1477	1515	53	-1	-1	1	-1	1
	10	1516	1525	36	-1	-1	1	-1	1
	9	1526	1527	51	-1	-1	1	-1	1
	8	1528	1549	63	-1	-1	1	-1	1
	7	1550	1581	68	-1	-1	1	-1	1
	6	1582	1606	49	-1	-1	1	-1	1
	5	1607	1637	39	-1	-1	1	-1	1
	4	1638	1682	43	-1	-1	1	-1	1
	3	1683	1740	58	-1	-1	1	-1	1
	2	1741	1770	39	-1	-1	1	-1	1
	1	1771	1790	38	-1	-1	1	-1	1
	0	1791	1815	38	-1	-1	1	-1	1
